shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
56.021330,37.277160,223.0,0.00,45,8.6,63,8.1,0.5,-59.4
56.022720,37.275940,224.0,0.58,49,8.4,63,8.1,0.3,-47.9
56.024700,37.274240,222.0,-0.82,53,8.4,65,8.2,0.2,-43.3
56.025270,37.273780,221.0,-1.44,55,8.5,66.7,8.4,0.1,-43.5
56.025730,37.273430,221.0,0.00,50,8.4,65,8.1,0.3,-52.7
56.026340,37.272990,221.0,0.00,45,8.6,63,8.1,0.5,-59.4
56.027030,37.272530,216.0,-6.11,43,10.8,68,10.5,0.2,-94.5
56.027710,37.272120,223.0,8.77,39,12.4,63,12.3,0.0,-29.3
56.028430,37.271730,223.0,0.00,39,8.8,63,8.1,0.7,-74.8
56.029260,37.271310,211.0,-12.51,40,14.8,68,14.9,-0.1,-113.9
56.029930,37.271020,211.0,0.00,44,8.7,63,8.2,0.5,-62.1
56.030650,37.270730,218.0,8.53,47,12.0,58,12.1,-0.1,-9.5
56.031470,37.270460,214.0,-4.31,42,9.8,63,9.7,0.1,-88.2
56.033240,37.269940,214.0,0.00,47,8.6,63,8.2,0.4,-53.8
56.034800,37.269490,207.0,-3.98,43,9.6,67.8,9.7,-0.1,-84.0
56.036750,37.268970,185.0,-10.04,15,13.9,72.8,13.0,0.8,-156.0
56.037390,37.268790,185.0,0.00,20,10.1,67.8,8.2,1.9,-109.1
56.038110,37.268570,208.0,28.32,0,27.8,62.8,26.7,1.1,-64.7
56.038620,37.268400,208.0,0.00,39,8.8,63,8.2,0.7,-74.8
56.040020,37.267960,220.0,7.59,44,11.4,58,11.4,-0.0,-22.2
56.040700,37.267700,220.0,0.00,47,8.5,63,8.1,0.4,-53.8
56.041520,37.267360,220.0,0.00,42,8.7,63,8.1,0.6,-67.4
56.042070,37.267100,226.0,9.49,39,12.9,58,12.8,0.1,-26.3
56.042790,37.266720,226.0,0.00,44,8.6,63,8.1,0.5,-62.1
56.043840,37.266110,217.0,-7.33,46,11.4,68,11.2,0.2,-92.9
56.044390,37.265760,217.0,0.00,49,8.5,63,8.2,0.3,-47.9
56.045160,37.265220,217.0,0.00,52,8.3,65,8.1,0.2,-46.5
56.045980,37.264590,226.0,9.07,52,12.5,60,12.5,-0.1,8.1
56.046890,37.263820,223.0,-2.68,47,8.9,65,8.9,0.0,-66.4
56.047640,37.263130,223.0,0.00,50,8.4,65,8.1,0.3,-52.7
56.048500,37.262270,221.0,-1.83,49,8.7,65.2,8.6,0.2,-56.5
56.049270,37.261440,221.0,0.00,44,8.7,63,8.1,0.5,-62.1
